lat,lon,depth,salinity
63.44721965171573,10.412929161200632,0.512851,22.716999
63.44720768751661,10.41291492062436,0.488613,22.721001
63.44719571234905,10.412900733412917,0.499046,22.804001
63.4471832793639,10.412886208899614,0.499109,22.811001
63.447171106261465,10.412871760135936,0.489706,22.806
63.44715905598573,10.412858078900532,0.501031,22.829
63.44714691961543,10.412844061915358,0.52404,22.870001
63.44713454749116,10.412829811276568,0.530262,22.882
63.44712222580731,10.412815571826403,0.514923,22.892
63.44711013550263,10.412801513021304,0.497776,22.867001
63.44709822283988,10.412787187934043,0.495972,22.867001
63.44708614075479,10.412773363406044,0.46635,22.875
63.44707412008754,10.412761326725825,0.596348,23.051001
63.44706293499758,10.412750946856072,0.823033,24.863001
63.4470521156299,10.412740883278818,1.136896,26.447001
63.44704158630139,10.412730146067643,1.461711,27.246
63.44703126751112,10.412719852584058,1.770202,27.724001
63.447021042478056,10.4127099630917,2.076062,28.349001
63.44701086953832,10.412700071921504,2.384955,28.761999
63.44700064505323,10.412689859711111,2.687272,29.073999
63.446990531878434,10.412678675801711,2.990767,29.257
63.44698047133595,10.41266654687744,3.288813,29.462
63.4469704277896,10.412653290169656,3.584215,29.676001
63.44696049718848,10.412639028327122,3.884125,29.858
63.44695038730151,10.412624124718576,4.1819,30.035999
63.44694009373595,10.41260934467654,4.500223,30.1
63.44692939334119,10.412594621331415,4.806637,30.187
63.44691814136265,10.41258024585728,5.052995,30.23
63.446906326301885,10.4125663790769,5.207708,30.267
63.44689410549889,10.412552999798486,5.28248,30.289
63.446881639069446,10.412539885937178,5.319178,30.288
63.44686908271861,10.412526872016445,5.353116,30.282
63.446856651925344,10.412513536789929,5.393421,30.274
63.44684436861755,10.412499692408224,5.439242,30.368
63.44683218345972,10.412485353136852,5.476312,30.399
63.446819986785485,10.41247060730946,5.498705,30.444
63.44680785699983,10.41245562047541,5.506901,30.548
63.44679578314331,10.412440428966582,5.498965,30.598
63.44678378329902,10.41242513048716,5.504732,30.632999
63.44677203457887,10.412410815835807,5.513477,30.649
63.44676051448904,10.412401620528732,5.534126,30.65
63.44674880304899,10.41239679070666,5.543212,30.66
63.4467370570687,10.412395919303192,5.521207,30.66
63.44672571736964,10.412399105223692,5.475102,30.649
63.44671505974369,10.41240602361807,5.449401,30.643999
63.4467053221367,10.412416412794776,5.465247,30.646
63.44669641026147,10.412430341391694,5.527049,30.66
63.44668853464725,10.412447655669192,5.564569,30.684
63.44668190310139,10.412468493469923,5.567765,30.693001
63.44667607972522,10.412492675080214,5.53896,30.705
63.44667024264974,10.412517753125528,5.541625,30.695999
63.4466631631498,10.41254004304967,5.607757,30.698999
63.44665458463052,10.41255917386099,5.629578,30.674999
63.446644588784736,10.412575192928118,5.599721,30.649
63.44663349965285,10.412587820163797,5.546849,30.629
63.44662179204861,10.412596860875285,5.545669,30.605
63.44660968584375,10.412601560325845,5.626103,30.66
63.44659763117525,10.41260160932242,5.744775,30.695
63.4465854701372,10.412597875769894,5.805111,30.705999
63.44657289240645,10.412591734703389,5.741405,30.702999
63.44656001913882,10.412583915303664,5.597198,30.677
63.44654664858162,10.41257561372196,5.46876,30.67
63.44653288545148,10.412567805641324,5.420313,30.643
63.44651901375092,10.41256059685737,5.438691,30.635
63.44650522210825,10.412552552210844,5.473079,30.649
63.44649173859683,10.412542733156052,5.479783,30.625
63.44647909562141,10.412530837233252,5.446564,30.58
63.446467465326215,10.412516098008826,5.398755,30.486
63.44645686855217,10.412498702570424,5.347736,30.431
63.44644734807706,10.412478941434967,5.334857,30.403999
63.44643881561443,10.412457214589212,5.347849,30.391001
63.44643107048954,10.41243368437008,5.360034,30.384001
63.44642364666521,10.412408604955733,5.387171,30.382
63.44641622722466,10.41238195623613,5.431967,30.386999
63.4464089876269,10.412354171971147,5.470619,30.386999
63.44640228315578,10.412325603076294,5.49709,30.372999
63.44639653435778,10.412296359670094,5.511384,30.363001
63.44639206744724,10.412267201354666,5.499429,30.354
63.4463890589881,10.412238556237073,5.466322,30.354
63.44638769923464,10.412210082987675,5.41262,30.351
63.446387738715615,10.412181928686351,5.385748,30.360001
63.44638906776465,10.412154177421982,5.397404,30.400999
63.44639138153832,10.412126643119384,5.412326,30.403999
63.44639451007532,10.412098139301415,5.450409,30.416
63.44639799389615,10.412068098927964,5.507344,30.400999
63.446401557226906,10.412037088766247,5.543302,30.379999
63.446405448424905,10.41200585284129,5.57537,30.344999
63.44640996906371,10.411975697718356,5.583891,30.327999
63.44641530775367,10.41194796241199,5.584832,30.306
63.446421902558406,10.411922875777265,5.542108,30.291
63.4464299388274,10.411900564216172,5.495892,30.281
63.44643912265872,10.41188163507008,5.500188,30.275
63.44644782563963,10.411862146431872,5.431037,30.273001
63.446455072909,10.411840143590194,5.277728,30.266001
63.44646059198074,10.41181564810059,4.969646,30.259001
63.44646386142752,10.411789460215845,4.629853,30.188999
63.44646472936215,10.411763627098226,4.424813,30.122
63.44646306531324,10.411739093076417,4.351191,30.056999
63.44645891586745,10.411716444671304,4.336205,30.027
63.446452508568136,10.41169625275286,4.328365,30.059999
63.44644430562565,10.4116795586388,4.289695,30.096001
63.446434547734704,10.41166721219292,4.235049,30.018
63.44642376455117,10.41165935551691,4.206095,30.011999
63.44641238701505,10.41165647358906,4.210528,30.042
63.44640079181705,10.411658269991335,4.241724,30.076
63.44638920209877,10.411664380984153,4.296567,30.084999
63.446377591539566,10.41167512798062,4.329198,30.105
63.4463655988279,10.411689685083578,4.342146,30.117001
63.4463532332793,10.411707391365027,4.360454,30.068001
63.44634069666446,10.411723114899257,4.427895,30.1
63.44632618840844,10.411737548635354,4.463765,30.093
63.44631207710913,10.411747749573474,4.508553,30.086
63.446298355651855,10.411753108382142,4.509977,30.089001
63.44628499112235,10.411753471763664,4.43364,30.115999
63.44627208605435,10.41174955767806,4.39315,30.122999
63.44626005935042,10.411742087688898,4.447768,30.143
63.4462488616571,10.411731236845151,4.32843,30.132999
63.44623829503951,10.411716769773628,4.047748,30.073999
63.44622870767581,10.411698791140036,3.709891,30.007
63.44622064783501,10.41167817520601,3.495271,29.931
63.44621477456639,10.411656577600612,3.43789,29.856001
63.446210358105255,10.411630679277142,3.496262,29.834999
63.44620821430189,10.41160561145012,3.55211,29.82
63.44620713142728,10.411577971086436,3.484056,29.806
63.44620686605585,10.411548670002295,3.350124,29.738001
63.44620624649652,10.411517419852787,3.244797,29.688999
63.44620432090301,10.41148635981941,3.224441,29.67
63.44620084420582,10.41145605191492,3.277807,29.677999
63.44619584107269,10.411426514169415,3.334808,29.712
63.446189115769634,10.41139615300384,3.335509,29.736
63.44618215963539,10.411369272173353,3.312071,29.749001
63.44617387171225,10.41134005079503,3.303917,29.754
63.44616620554032,10.411313911061235,3.317244,29.742001
63.446158321706505,10.411286330681822,3.36404,29.724001
63.446150603998205,10.411258359856967,3.407058,29.707001
63.44614306393184,10.41123025103759,3.425157,29.676001
63.44613565052797,10.411201695787872,3.423149,29.643
63.44612842792634,10.411172978469578,3.419124,29.568001
63.446121336362026,10.411144210226194,3.412212,29.368999
63.44611435390713,10.41111560872394,3.417538,29.326
63.44610730456365,10.411087159252387,3.427534,29.368999
63.44610021300832,10.411058793288516,3.431565,29.476
63.44609310992759,10.41103044445942,3.442332,29.542
63.44608605291249,10.41100190265432,3.457534,29.548
63.44607898657288,10.410973530804648,3.463042,29.556999
63.44607140648654,10.41094397780032,3.469502,29.514999
63.446064082995086,10.410916157761749,3.473598,29.506001
63.44605715427743,10.41088993279626,3.478128,29.607
63.44604992892697,10.410862271211816,3.463762,29.743
63.44604285217587,10.41083437429104,3.461186,29.729
63.44603552813645,10.41080484589485,3.504591,29.704
63.44602896293121,10.41077819245984,3.540178,29.67
63.446022102746056,10.410750082875886,3.550473,29.448999
63.44601516909665,10.410721632439497,3.533793,29.231001
63.44600808465597,10.410693213326,3.487738,29.188999
63.446001000772256,10.410664964629628,3.462057,29.156
63.44599388070439,10.410636899151028,3.447985,29.283001
63.44598650732048,10.410609144896242,3.451893,29.504999
63.44597883238099,10.410581987773645,3.474941,29.827999
63.44597104503527,10.41055502711291,3.491661,29.999001
63.44596294024275,10.410526657332884,3.508389,30.09
63.44595583935392,10.41050072654224,3.502353,30.122999
63.445948603044,10.410473255410365,3.505567,30.146999
63.4459414385634,10.410445745146614,3.521384,30.146999
63.44593443308467,10.41041803885,3.537656,30.152
63.44592781359422,10.410390059372096,3.559715,30.030001
63.445921604229774,10.410361365312436,3.592253,29.617001
63.4459153855498,10.410332562694087,3.582795,29.34
63.44590891903351,10.410304204105284,3.541983,29.129
63.44590228803564,10.410276171247286,3.492125,29.054001
63.44589542894643,10.410248405325111,3.440768,29.016001
63.44588847116827,10.410221085318572,3.423115,28.999001
63.4458812085377,10.4101946373598,3.43569,29.316
63.44587362132771,10.410169088115095,3.45595,29.652
63.44586616844288,10.410143237400575,3.488384,29.774
63.44585917886433,10.41011668928214,3.50162,29.589001
63.44585249741705,10.410089476719028,3.491758,29.396999
63.445845889443,10.410061918458862,3.47749,29.437
63.44583933356228,10.410034624835308,3.48359,29.405001
63.44583278590114,10.410007448013689,3.500469,29.334999
63.44582618834755,10.409980424226475,3.512597,29.304001
63.44581959572572,10.409953306871106,3.511021,29.354
63.44581295267244,10.409926220636487,3.51748,29.457001
63.44580621914081,10.40989919765548,3.508613,29.468
63.445799369924096,10.409872449424524,3.502009,29.497
63.44579246587419,10.409845835962638,3.506634,29.509001
63.445785550864834,10.409819332069524,3.509843,29.479
63.445778723576,10.409792878984556,3.520407,29.422001
63.44577187655117,10.409766606382115,3.51835,29.32
63.4457650520022,10.409740400685967,3.515956,29.261999
63.44575826364637,10.409714113376715,3.506124,29.127001
63.445751590427655,10.409687770111436,3.483213,29.191999
63.44574508553533,10.40966138270296,3.461325,29.291
63.4457386628838,10.409635090048234,3.461182,29.348
63.44573229670937,10.40960892926277,3.468888,29.306999
63.44572578742429,10.409582951677512,3.492901,29.275999
63.44571904786496,10.409557267716378,3.504517,29.337999
63.4457122463488,10.409531649218277,3.502074,29.424999
63.445705500761775,10.40950577930713,3.493587,29.462
63.44569880451025,10.409479628544895,3.486712,29.452999
63.44569197832634,10.409453658571843,3.48982,29.431999
63.44568500519596,10.40942789677791,3.494503,29.410999
63.44567785057887,10.409402241889095,3.500838,29.406
63.44567059782079,10.409376564010463,3.514905,29.412001
63.44566332148192,10.409350547494176,3.512378,29.431
63.44565615864524,10.409324386103458,3.526462,29.448999
63.44564900731599,10.40929812738761,3.528332,29.419001
63.44564192726808,10.409271666590724,3.525459,29.427999
63.44563492782603,10.409245134687769,3.521116,29.434999
63.44562796510713,10.40921848890023,3.523685,29.445
63.44562119593932,10.409191927570408,3.527797,29.474001
63.44561456932522,10.409165192387048,3.551607,29.441
63.44560805950114,10.409138348055592,3.559939,29.483
63.44560147949166,10.409111601701248,3.545414,29.547001
63.445594917574255,10.40908486257189,3.512396,29.594
63.44558838088155,10.4090579198565,3.486227,29.621
63.44558187215342,10.409031094121046,3.46391,29.613001
63.44557520715429,10.409004595424932,3.460062,29.639
63.445568497203446,10.408978179372475,3.479882,29.658001
63.44556163921018,10.408951695584644,3.494011,29.677
63.44555470775267,10.408925587258343,3.501538,29.663
63.445547763134826,10.408899608654892,3.501938,29.615999
63.445540876081054,10.40887339887396,3.478758,29.6
63.44553394242266,10.408847260685285,3.453763,29.530001
63.44552697806883,10.408821373952428,3.450772,29.448
63.445520111308,10.40879552845832,3.443645,29.434
63.44551326483115,10.408769780935035,3.449375,29.448999
63.44550647701431,10.4087438118993,3.468406,29.459
63.44549968756253,10.4087178493062,3.479893,29.497999
63.44549288440245,10.408691442139126,3.502642,29.559
63.44548617883539,10.408664755183084,3.511387,29.611
63.445479524804696,10.408637859274313,3.51482,29.652
63.44547287790663,10.408610898995212,3.508829,29.683001
63.44546626774069,10.4085838510339,3.509917,29.728001
63.44545967566683,10.408556850003782,3.49305,29.75
63.4454528851191,10.408529804695176,3.487653,29.766001
63.445445985461966,10.408502981692154,3.485615,29.802
63.44543903042366,10.408476286566996,3.491934,29.82
63.44543199203963,10.40844968407684,3.506426,29.839001
63.445425255220165,10.408423879517285,3.551205,29.851
63.44542036997301,10.408398080649723,3.447238,29.844
63.44541742292272,10.408371934344244,3.253812,29.747
63.44541648863851,10.408345944553584,2.983825,29.632999
63.44541752819634,10.408319895101478,2.643823,29.49
63.44542061560844,10.408294441511728,2.261099,28.992001
63.445425921941066,10.408270452097716,1.866963,28.417999
63.445433185667575,10.408248509132244,1.485416,28.013
63.44544204545847,10.408228780072998,1.113226,27.329
63.44545216576589,10.408210908960385,0.737225,26.579
63.44546274772672,10.408195912926088,0.463471,25.549999
63.44547145015966,10.40818281409039,0.266722,24.684
63.44547831034481,10.408171105634615,0.124883,22.969
63.445484060795714,10.408160333357603,0.099624,20.785
63.44578460670812,10.407704676866054,0.112645,18.743
63.44597995911137,10.407408070782456,0.11469,18.065001
63.445986947593966,10.40739800262852,0.121405,17.716
63.44599481772846,10.407388966442513,0.111859,17.415001
63.44600337979958,10.407383151224662,0.10694,17.256001
63.44601218146945,10.407376098139007,0.108588,17.091999
63.44602049132946,10.407369529574696,0.099202,17.055
63.44602917402641,10.407363387469807,0.109467,17.028
63.44603859471661,10.407358363820508,0.11372,17.079
63.446049077440506,10.407354331045088,0.116109,17.233999
63.44606007774693,10.407352203845692,0.127206,17.056999
63.44607156877625,10.40735244030776,0.122588,16.941999
63.44608358505972,10.407355336063867,0.119242,16.83
63.44609621323988,10.407362338311666,0.127393,16.733
63.4461088852848,10.40737295563062,0.130305,16.766001
63.44612058356452,10.407387810609682,0.116915,17.021
63.44613011172023,10.40740649405122,0.131654,16.92
63.44613799171823,10.40742842943044,0.119102,16.832001
63.44614417751088,10.40745332027321,0.128241,16.819
63.44614788174244,10.407479110733856,0.128142,16.77
63.44614908249403,10.40750596978591,0.127694,16.74
63.4461481992072,10.40753325407685,0.126069,16.929001
63.44614472470189,10.407559486954662,0.127422,17.216999
63.44613877961293,10.40758511609028,0.129928,17.341999
63.44612994722965,10.407607336213273,0.120571,17.416
63.446119096052605,10.407626930633322,0.120892,17.336
63.446107467958285,10.407646408016875,0.115283,17.298
63.44609561780033,10.407664605876038,0.110067,17.146
63.446082966048365,10.407681940662432,0.099472,16.985001
63.44607004343626,10.407699456076248,0.120155,16.841999
63.44605667178311,10.407718224070951,0.104392,16.677999
63.44604354520844,10.407735198585602,0.107038,16.587999
63.44603007047357,10.40775244235314,0.102212,16.511999
63.44601564774618,10.407769282367632,0.099848,16.473
63.446000771037006,10.407786277888656,0.105049,16.362
63.44598668605835,10.40780401809356,0.099523,16.197001
63.44597212571799,10.407820096744596,0.105188,16.065001
63.44595735098561,10.40783612112719,0.106224,15.954
63.44594288495042,10.40785374234192,0.107972,15.882
63.445929322486045,10.407870831454646,0.106655,15.908
63.4459153855498,10.407886462926456,0.103562,15.815
63.44590155003339,10.407902877781426,0.120117,15.74
63.44588841304724,10.407919348348395,0.115315,15.884
63.44587557761668,10.407934939487614,0.103732,16.098
63.44586204147294,10.407949811039174,0.12645,16.249001
63.445849158341815,10.40796642902941,0.120704,17.003
63.44583659266645,10.407981949565816,0.119307,17.711
63.44582451990589,10.4079978646745,0.116499,18.875
63.44581223660707,10.408013705883825,0.135701,18.888
63.44580028281942,10.408029999615186,0.122187,19.049
63.44578766505972,10.408044302834892,0.109631,19.134001
63.44577580723015,10.408059062210812,0.12904,18.834
63.44576445108292,10.408075419923156,0.124321,19.23
63.44575319910438,10.408092255319188,0.122083,19.309
63.4457419224581,10.40810964231913,0.120702,19.034
63.445729465344186,10.408126254900568,0.121236,18.709
63.4457184173372,10.408142172539907,0.111719,19.273001
63.44570692356801,10.40815934274112,0.130036,19.197001
63.44569519458386,10.408176204481189,0.134343,18.952999
63.445684049522846,10.408193544499486,0.116511,18.806999
63.44567203762316,10.408210481674178,0.115173,18.781
63.44566104279646,10.408228298110432,0.113382,18.799999
63.44565036707844,10.408246621043464,0.117827,18.676001
63.445639160608565,10.408263996881644,0.125543,18.686001
63.44562856658336,10.40828243781438,0.122841,18.5
63.44561812716727,10.40830141899797,0.10879,19.016001
63.44560766966808,10.40832139267327,0.13658,18.995001
63.44559751427244,10.408341469651637,0.126462,19.188
63.44558794334792,10.408361787855808,0.121962,19.155001
63.44557828140607,10.408382784903967,0.121248,18.507
63.44556986792534,10.408405948986044,0.119027,19.021999
63.44556285695791,10.408429308548016,0.123727,19.097
63.44555669365011,10.408454000281488,0.123574,19.481001
63.44555297680619,10.4084803185309,0.130302,19.513
63.445549226509,10.408507111425836,0.114768,19.554001
63.44554662653196,10.408533258180691,0.129758,19.473
63.445546842558905,10.408559800068868,0.129803,19.486
63.44554854334893,10.408586103734466,0.126847,19.539
63.44555211215042,10.408612039018465,0.131754,19.528
63.44555857373495,10.408636461827752,0.116304,19.614
63.44556518224799,10.408660720284049,0.120626,19.605
63.44557342631536,10.408684043466636,0.11523,19.566999
63.445581582105255,10.408706967735428,0.108248,19.507999
63.44558969731823,10.408730361466151,0.120918,19.507999
63.44559771987893,10.40875437396471,0.125757,19.544001
63.44560498415342,10.408779167625624,0.119324,19.487
63.44561075543626,10.408805031682492,0.119983,19.427999
63.445616046964645,10.40883151131858,0.114743,19.433001
63.4456214426707,10.408858695547975,0.119156,19.392
63.44562639974718,10.408885845016275,0.116998,19.426001
63.445631512537695,10.408913121439369,0.122141,19.438999
63.44563609951711,10.408940925127798,0.112968,19.458
63.4456409019755,10.408968883034822,0.129388,19.330999
63.44564638759397,10.408995795951949,0.11993,19.43
63.44565133260607,10.40902288124658,0.11654,19.34
63.44565702438798,10.409048367322557,0.120351,19.429001
63.44566305994631,10.409075400739797,0.119104,19.344999
63.44566931976016,10.409103044020778,0.108246,19.295
63.44567588441742,10.409129879797645,0.117542,19.212999
63.44568231857637,10.409156921965456,0.105612,19.349001
63.44568877576814,10.40918374597817,0.107943,19.308001
63.44569626374119,10.409209443582617,0.129797,19.107
63.44570287281118,10.40923650187253,0.115652,19.357
63.4457098119493,10.40926299981998,0.110139,19.400999
63.4457167554712,10.409289348437676,0.120305,19.462999
63.44572300102877,10.409316637210344,0.114816,19.413
63.44572921313308,10.409343574443374,0.113393,19.226999
63.4457351861866,10.409371130632769,0.118109,19.299999
63.44574125080545,10.40939894024055,0.134232,19.364
63.44574748375067,10.409426827415786,0.113481,19.544001
63.44575302365436,10.409454016797564,0.112974,19.518
63.4457586600551,10.40948086873731,0.119623,19.382
63.44576409852996,10.409508610343234,0.12778,19.371
63.445769482171634,10.409536080625918,0.11297,19.424
63.445775025920106,10.409563664183896,0.115791,19.356001
63.44578158289677,10.409590980345111,0.120719,19.507999
63.44578810478523,10.409617970426124,0.118947,19.694
63.445796849986976,10.40964488606515,0.11929,19.724001
63.445805034837385,10.409671127332649,0.115359,19.646
63.44581213681318,10.40969739014512,0.120451,19.298
63.44581861319297,10.409723727328108,0.116176,19.226
63.445824439309,10.409750417492324,0.115123,19.033001
63.44583025719646,10.409777617628045,0.125419,18.695
63.44583564303002,10.40980486595942,0.119567,18.778
63.44584045755279,10.409831844313151,0.110777,18.737
63.44584532799571,10.409858305901118,0.130619,18.459999
63.44585039692148,10.409884526857638,0.118978,18.801001
63.44585541650276,10.409910910712126,0.111838,19.143
63.44586112363689,10.409937153888368,0.121689,18.851
63.4458671378153,10.409963630945205,0.120041,19.129
63.445873821993466,10.40998955345885,0.120622,19.150999
63.44588009935142,10.410015596425476,0.120592,19.079
63.44588698475229,10.410041671434312,0.124691,19.110001
63.44589365961493,10.410067953638062,0.104745,19.177
63.44589973081842,10.410094405230492,0.121465,19.216999
63.4459058475216,10.410120587845975,0.104292,19.650999
63.4459115042153,10.410146966408917,0.122452,19.57
63.44591736212272,10.41017303451431,0.135375,18.888
63.44592347718199,10.410199659687075,0.114939,19.065001
63.44592943323938,10.410226107962144,0.11592,18.437
63.445935448513744,10.410252377866431,0.127417,18.728001
63.445941781243874,10.410278463324993,0.10836,18.906
63.44594816935516,10.410304610665234,0.121179,18.625999
63.44595484969752,10.410331822384856,0.120578,18.799999
63.44596133868966,10.410358251172616,0.111115,18.819
63.44596774105722,10.410384127129396,0.106223,19.163
63.44597412751561,10.41041089660814,0.130359,19.332001
63.44598047943376,10.410437175507797,0.117822,19.433001
63.44598651608804,10.410463034928128,0.114342,19.455
63.44599169521917,10.41048927942891,0.128147,19.169001
63.44599823849652,10.410514869733648,0.112061,19.476999
63.44600426034656,10.410540179194586,0.128173,19.266001
63.44601067751836,10.410565666036304,0.114902,19.535999
63.44601680847781,10.41059179825522,0.115771,19.421
63.44602249038723,10.410618155351036,0.128264,19.191999
63.44602776217962,10.410644791537736,0.124803,19.226
63.44603319078199,10.410671176206836,0.124129,19.094999
63.44603815773096,10.410698083534424,0.109939,18.948
63.44604330834955,10.410725178253015,0.116618,17.865999
63.446048709535326,10.410751743583486,0.123484,17.889
63.44605382561368,10.410779156743198,0.114564,16.867001
63.446059420350544,10.410806430371752,0.119562,16.339001
63.44606569057587,10.410833112980583,0.132505,16.145
63.446072038110245,10.410859055852669,0.125834,17.313999
63.446078163042,10.410884810187977,0.11564,16.975
63.44608472824724,10.410909662700334,0.122994,17.16
63.44609185763963,10.41093364781236,0.124117,16.917
63.44609875729677,10.4109586799344,0.122532,16.497999
63.446105620221786,10.41098377309634,0.114286,16.929001
63.44611190579933,10.411009360420646,0.117453,17.278999
63.44611864261879,10.411034686544795,0.128454,17.156
63.44612453507544,10.41106132450676,0.120761,18.209
63.4461303332269,10.411087136643683,0.115304,17.198999
63.44613623554705,10.41111205843127,0.125323,17.826
63.44614184454019,10.411138082467613,0.114447,17.938
63.4461474288566,10.411162980823155,0.114632,17.204
63.44615353350439,10.411188441746178,0.129515,17.240999
63.4461593053352,10.411214685450783,0.123125,17.242001
63.44616552182329,10.411239698884794,0.107905,17.208
63.44617163907444,10.411265193237975,0.135453,16.813999
63.44617742791037,10.411291892484329,0.124655,16.854
63.44618359395803,10.411317662822112,0.118685,16.268
63.44618999961343,10.411343194567896,0.107137,15.98
63.446195286758034,10.411369571639849,0.133772,15.568
63.44620120937113,10.41139614992011,0.128492,15.249
63.44620652941206,10.411422508686163,0.124946,15.065
63.44621230124287,10.411449099243251,0.114121,14.916
63.44621760428767,10.411476363020888,0.1141,14.874
