timestamp,lat,lon,depth,salinity,temperature
1652253956.297054,63.45039590026603,10.396349958496696,0.095839,22.423,7.493
1652253957.296656,63.450397596115316,10.396351149563866,0.082547,22.421,7.495
1652253958.296932,63.45039930075012,10.396351703976405,0.095081,22.377001,7.5
1652253959.296181,63.450401336270524,10.396354182563114,0.086943,22.374001,7.499
1652253960.295635,63.450404440948255,10.396355785630877,0.080495,22.327,7.501
1652253961.295326,63.45040806404395,10.39636046785699,0.084981,22.334,7.499
1652253962.297725,63.45041275738394,10.396365132017882,0.086892,22.358,7.5
1652253963.295183,63.45041860735025,10.396371850648872,0.081952,22.388,7.483
1652253964.295233,63.45042475503634,10.396380928283458,0.077739,22.409,7.48
1652253965.296397,63.450432158567715,10.396390849070656,0.084635,22.406,7.476
1652253966.295501,63.45044056794314,10.39640108483699,0.078971,22.421,7.475
1652253967.295643,63.45044996423509,10.39641106518101,0.087032,22.424999,7.477
1652253968.295484,63.45046023504632,10.39642163710833,0.091206,22.489,7.468
1652253969.294854,63.45047150977919,10.396432513587254,0.080046,22.518,7.466
1652253970.295726,63.45048315926241,10.396438820213703,0.078836,22.518999,7.469
1652253971.297198,63.450495380604394,10.396443769129341,0.0872,22.528,7.465
1652253972.297874,63.45050774423958,10.39644612551355,0.092981,22.513,7.471
1652253973.299613,63.4505202816719,10.396444670055894,0.105961,22.490999,7.475
1652253974.29646,63.45053306501812,10.396440387190394,0.119742,22.565001,7.448
1652253975.298534,63.45054560793016,10.396432163544802,0.14766,22.632999,7.428
1652253976.297994,63.450558326579696,10.396418214421969,0.212265,22.686001,7.415
1652253977.29449,63.45057183832517,10.396401071898671,0.321506,22.747,7.413
1652253978.294807,63.450580922910575,10.396377973564501,0.445736,22.780001,7.423
1652253979.294303,63.45058864034937,10.396349033291184,0.512007,22.83,7.428
1652253980.294982,63.45059276073465,10.396317888049532,0.520285,22.834,7.423
1652253981.294346,63.45059260968288,10.396286565343113,0.527816,22.830999,7.419
1652253982.292612,63.4505886400709,10.396257962131767,0.541854,22.815001,7.416
1652253983.293119,63.45058162280627,10.39623417873531,0.601373,22.872,7.429
1652253984.29367,63.4505717459334,10.396214763238751,0.629092,22.936001,7.44
1652253985.292738,63.450559704703714,10.396201684665769,0.567819,22.91,7.436
1652253986.294437,63.45054672068275,10.396192650751665,0.541971,22.857,7.427
1652253987.29392,63.45053277853628,10.396185471882724,0.637113,22.885,7.434
1652253988.294258,63.45051854634164,10.39617559054419,0.669993,22.966999,7.446
1652253989.293405,63.45050359643771,10.396161762781778,0.614735,22.940001,7.438
1652253990.292981,63.450489266371584,10.3961457627823,0.531522,22.885,7.431
1652253991.293288,63.450475067890736,10.396129722968302,0.529606,22.863001,7.426
1652253992.292507,63.4504617546281,10.396113338785087,0.597907,22.877001,7.432
1652253993.29234,63.450449412929785,10.39609462976025,0.648884,22.996,7.453
1652253994.291455,63.45043796906204,10.396073743710152,0.606874,22.940001,7.442
1652253995.291579,63.45042881182086,10.396049564196023,0.477395,22.868,7.428
1652253996.292401,63.45042120350047,10.396024202087206,0.391254,22.827,7.425
1652253997.293961,63.45041654852754,10.395996764813523,0.418772,22.802999,7.423
1652253998.294417,63.45041253971307,10.395966522970763,0.452656,22.804001,7.426
1652253999.294324,63.4504107830029,10.395935068060737,0.453616,22.802999,7.425
1652254000.296004,63.450410392343386,10.395904098154105,0.464638,22.801001,7.426
1652254001.292091,63.450411553075014,10.395872204430452,0.481249,22.84,7.428
1652254002.292262,63.45041428381987,10.395839287567139,0.477854,22.816,7.423
1652254003.291066,63.45041633277907,10.395803912216943,0.489279,22.811001,7.421
1652254004.291234,63.45041888916984,10.395766841150678,0.5015,22.806999,7.423
1652254005.291643,63.45041979822935,10.395729748693675,0.51594,22.823999,7.428
1652254006.290673,63.45042089974401,10.39569206320893,0.526465,22.846001,7.434
1652254007.291171,63.4504212108936,10.395654954621271,0.52831,22.844,7.433
1652254008.291099,63.450421817032094,10.395618186521748,0.518423,22.82,7.428
1652254009.290469,63.45042228362623,10.395581383427041,0.495757,22.805,7.427
1652254010.290839,63.45042338212255,10.395544359712922,0.486628,22.804001,7.427
1652254011.290169,63.450424360541014,10.39550743534245,0.47118,22.805,7.429
1652254012.290097,63.450425870798284,10.39547097724171,0.48816,22.796,7.429
1652254013.290201,63.45042703426977,10.395435220082428,0.500226,22.785999,7.427
1652254014.289907,63.450430445722304,10.395402637031644,0.526561,22.781,7.428
1652254015.290036,63.45043637545904,10.395372427709436,0.486324,22.773001,7.428
1652254016.290217,63.4504442995913,10.395344068823992,0.487968,22.76,7.429
1652254017.29266,63.45045496325393,10.395317276594175,0.441126,22.743999,7.428
1652254018.290532,63.45046634626978,10.395296419211299,0.426499,22.733999,7.428
1652254019.290415,63.45047866082997,10.39528007809832,0.596245,22.874001,7.445
1652254020.290668,63.45049361402174,10.395267379778092,0.718996,23.190001,7.466
1652254021.290282,63.45050879119055,10.395260391677306,0.645456,23.171,7.465
1652254022.290216,63.45052336332579,10.395258841852334,0.640394,23.138,7.466
1652254023.290327,63.45053880395262,10.39526261975437,0.622505,23.208,7.459
1652254024.291002,63.45055458039678,10.39527182519886,0.642617,23.167,7.46
1652254025.292441,63.45056813134476,10.395285530064573,0.772035,23.288,7.46
1652254026.290556,63.450579582893106,10.395303255359018,1.059815,24.530001,7.583
1652254027.291884,63.45058953049036,10.395325545917295,1.467696,26.695,7.692
1652254028.292538,63.45059652226079,10.395350706018938,1.817266,28.568001,7.663
1652254029.295576,63.45060072489585,10.395378851633955,1.867719,29.263,7.652
1652254030.291395,63.4506046188427,10.395407955814086,1.765276,29.465,7.652
1652254031.289563,63.45060459005168,10.395438765112281,1.508566,28.531,7.703
1652254032.289708,63.45060399049785,10.395471398925816,1.140229,27.450001,7.705
1652254033.290497,63.45060343480876,10.395506852873275,0.802604,25.683001,7.58
1652254034.290151,63.45060386603621,10.395543568170751,0.621995,24.337999,7.509
1652254035.289983,63.45060476742411,10.395580436943163,0.579823,23.688999,7.481
1652254036.290026,63.45060645286191,10.395616942251236,0.561381,23.395,7.473
1652254037.290048,63.45060906874813,10.395654646959457,0.527593,23.187,7.452
1652254038.290003,63.45061175728113,10.395691712563,0.465369,22.92,7.426
1652254039.289878,63.4506153595359,10.395728490218682,0.404685,22.794001,7.417
1652254040.289653,63.450618579907704,10.395764891769685,0.374315,22.716,7.418
1652254041.29004,63.45062180000103,10.395801212374266,0.337914,22.679001,7.419
1652254042.289844,63.45062462807839,10.39583778677864,0.336499,22.669001,7.419
1652254043.287696,63.45062730646042,10.395873381025329,0.333196,22.663,7.419
1652254044.288032,63.450629839009885,10.395907961390382,0.324557,22.666,7.418
1652254045.287534,63.45063216786628,10.39594330467398,0.324961,22.666,7.418
1652254046.287153,63.45063445203147,10.395978050557183,0.32368,22.669001,7.419
1652254047.287048,63.45063640338868,10.396012520954876,0.336451,22.674,7.418
1652254048.286741,63.450638388468654,10.396046800015698,0.347348,22.686001,7.417
1652254049.286374,63.45064072061288,10.396080916020313,0.364856,22.698,7.416
1652254050.286047,63.450642840296474,10.396116141508285,0.377251,22.705,7.418
1652254051.286058,63.45064504167289,10.396150328044392,0.393713,22.712999,7.416
1652254052.287436,63.450647262515815,10.396184135524562,0.419214,22.718,7.417
1652254053.287195,63.450649725149376,10.39621843438555,0.425258,22.73,7.417
1652254054.287354,63.45065220424008,10.396252232778407,0.435465,22.745001,7.418
1652254055.287025,63.45065423455025,10.396286011390309,0.447065,22.746,7.414
1652254056.286682,63.45065660891532,10.396320312690543,0.474576,22.757999,7.414
1652254057.28643,63.45065883085418,10.396354397429343,0.488817,22.763,7.416
1652254058.286395,63.45066083293029,10.396388533006789,0.492052,22.777,7.415
1652254059.286044,63.45066280484095,10.396422382162488,0.499942,22.799999,7.419
1652254060.285807,63.45066480472517,10.39645628039159,0.499547,22.804001,7.419
1652254061.285477,63.450666784594915,10.39648965237313,0.507677,22.820999,7.422
1652254062.285744,63.45066886562399,10.39652289620928,0.500988,22.827999,7.423
1652254063.286008,63.45067116815973,10.396556522229714,0.509287,22.832001,7.424
1652254064.28551,63.450673418889615,10.396590502745855,0.508997,22.863001,7.428
1652254065.285537,63.45067583354413,10.396624122083322,0.516364,22.906,7.436
1652254066.285497,63.450678087561855,10.39665794253102,0.507721,22.948,7.441
1652254067.285194,63.45068044300839,10.39669093439976,0.506259,22.951,7.44
1652254068.285267,63.45068259230047,10.396723627505079,0.515121,22.955999,7.442
1652254069.285126,63.45068487564819,10.396756756125772,0.512688,22.99,7.447
1652254070.285103,63.450687205322055,10.39678998352969,0.510499,22.987,7.443
1652254071.28972,63.45068932692804,10.396822980863636,0.498346,22.981001,7.443
1652254072.284913,63.45069144002698,10.39685536239691,0.500588,22.983,7.443
1652254073.284538,63.450693558884126,10.396888425359553,0.501069,23.003,7.445
1652254074.285466,63.45069563635586,10.396921323327783,0.502527,22.993,7.442
1652254075.285382,63.4506975912704,10.396953233761627,0.492816,22.983999,7.438
1652254076.287568,63.45069973234289,10.396985530691289,0.493195,22.992001,7.44
1652254077.284915,63.45070201514264,10.397018173583819,0.487556,23.01,7.449
1652254078.2853,63.4507042507898,10.397050331941767,0.47275,23.025999,7.449
1652254079.284492,63.450706495474016,10.397082756486004,0.477121,23.033001,7.45
1652254080.284498,63.45070864942835,10.397115092691513,0.485252,23.017,7.445
1652254081.288032,63.45071084751694,10.397147506194912,0.496368,22.941,7.428
1652254082.284522,63.450713069177326,10.397179457236676,0.501381,22.910999,7.42
1652254083.286673,63.45071510414975,10.397211062307656,0.511518,22.903999,7.416
1652254084.284595,63.4507173515918,10.397242890710478,0.512925,22.941,7.423
1652254085.283856,63.450719457836584,10.39727489817938,0.506762,22.951,7.423
1652254086.284064,63.45072155750571,10.397306771918352,0.492105,22.931,7.418
1652254087.283382,63.450723713373456,10.397338915559152,0.48983,22.896999,7.413
1652254088.283563,63.45072605539018,10.39737104456277,0.499155,22.860001,7.41
1652254089.283909,63.45072821208437,10.397402763783791,0.508618,22.857,7.409
1652254090.285127,63.45073013630346,10.397433456194499,0.506368,22.862,7.41
1652254091.28422,63.45073246104557,10.397464267740954,0.519069,22.865999,7.409
1652254092.28355,63.45073490147277,10.397495447331073,0.519653,22.874001,7.409
1652254093.282201,63.450737170016254,10.397527014511914,0.470516,22.875999,7.41
1652254094.284211,63.450739550687494,10.397556845974341,0.468973,22.868,7.41
1652254095.283256,63.450743207218494,10.397584174257336,0.601182,22.891001,7.414
1652254096.28326,63.45074769139467,10.397610539927308,0.781957,23.094999,7.444
1652254097.283098,63.45075270823609,10.397636121946377,1.010229,24.357,7.569
1652254098.2825,63.450757338532284,10.39766135054235,1.316114,26.007999,7.685
1652254099.283165,63.45076153293877,10.397686588786252,1.645164,26.9,7.712
1652254100.284229,63.45076547540365,10.397711598787163,1.963309,27.489,7.713
1652254101.284913,63.45076866480153,10.397737405833027,2.266837,28.783001,7.663
1652254102.282085,63.45077109865306,10.39776368242339,2.555176,29.365999,7.649
1652254103.283012,63.45077338227027,10.397789686651251,2.825892,29.620001,7.64
1652254104.284063,63.45077615825431,10.397815313231936,3.085248,29.823999,7.626
1652254105.285402,63.45077946361575,10.397840743767057,3.347155,29.924,7.617
1652254106.282835,63.450782975401154,10.39786663807124,3.629442,29.996,7.604
1652254107.28367,63.450786742416,10.397892791304855,3.937942,30.26,7.559
1652254108.284033,63.45079039237133,10.397918993578735,4.255881,30.400999,7.537
1652254109.283672,63.45079391155886,10.397945221573412,4.58488,30.462,7.529
1652254110.28599,63.45079698909847,10.397971841935206,4.89246,30.518999,7.523
1652254111.283231,63.450799877758236,10.39799846958373,5.112656,30.539,7.521
1652254112.28462,63.4508030753757,10.398025482539966,5.2284,30.552999,7.519
1652254113.28389,63.450806705047064,10.398052626934884,5.26913,30.559,7.52
1652254114.283983,63.450810466851685,10.39808098336381,5.285595,30.558001,7.519
1652254115.28529,63.45081436847015,10.398109395045493,5.316976,30.559,7.519
1652254116.282396,63.450818105876515,10.398137699948192,5.369757,30.558001,7.518
1652254117.28304,63.450821852885866,10.398165728855139,5.430316,30.563,7.516
1652254118.283735,63.450825442249815,10.398193541812184,5.474244,30.569,7.513
1652254119.283266,63.45082919145106,10.398221342580985,5.501542,30.584,7.508
1652254120.285294,63.45083293790346,10.398249556753633,5.522742,30.584,7.509
1652254121.28406,63.450836392394294,10.398278240628137,5.555169,30.569,7.512
1652254122.284372,63.45084001575948,10.398305789879918,5.4542,30.555,7.517
1652254123.282552,63.450843685998784,10.398333642156773,5.2156,30.549,7.52
1652254124.282142,63.45084764299841,10.39836151664592,4.887606,30.535999,7.521
1652254125.282553,63.450851825340514,10.398390105160132,4.458606,30.525,7.52
1652254126.28365,63.450856191361225,10.398418433708782,4.144572,30.506001,7.524
1652254127.283838,63.4508608652437,10.398445685355195,4.106439,30.48,7.528
1652254128.28349,63.45086548402349,10.398471920063272,4.223017,30.469999,7.528
1652254129.283193,63.45087001480427,10.398497580640615,4.428154,30.48,7.526
1652254130.281747,63.4508741047636,10.398522782283484,4.693535,30.503,7.523
1652254131.282245,63.45087766233615,10.398547772702036,4.942149,30.521,7.524
1652254132.282364,63.4508808818815,10.398573712441602,5.126907,30.530001,7.524
1652254133.281832,63.45088407045293,10.398601378141096,5.227044,30.537001,7.523
1652254134.281637,63.45088701778169,10.398629738055826,5.28252,30.538,7.522
1652254135.281531,63.4508897726553,10.398658768891922,5.324553,30.538,7.522
1652254136.281388,63.45089261305755,10.398688227879951,5.361448,30.539,7.52
1652254137.280824,63.45089565167314,10.398717295646666,5.399136,30.538,7.521
1652254138.283048,63.45089890713316,10.398746651778808,5.434653,30.542,7.521
1652254139.281375,63.45090242002349,10.398776102487954,5.459197,30.541,7.52
1652254140.281596,63.450906151671646,10.398805441672138,5.474576,30.542,7.52
1652254141.282196,63.45091021557982,10.398834848474896,5.479162,30.546,7.518
1652254142.2809,63.450914145710826,10.398863466456914,5.495447,30.554001,7.515
1652254143.280422,63.45091808324395,10.398891689460958,5.498735,30.552999,7.516
1652254144.27856,63.45092237470446,10.39892029165561,5.507942,30.544001,7.519
1652254145.280211,63.45092653319629,10.39894882635228,5.523432,30.540001,7.521
1652254146.280878,63.450930599574825,10.398977747424825,5.530612,30.542,7.519
1652254147.285998,63.45093431669722,10.399006467172182,5.545188,30.544001,7.518
1652254148.279835,63.45093798364869,10.399035578216598,5.546158,30.539,7.52
1652254149.281265,63.450941485292105,10.399064528511907,5.549902,30.538,7.521
1652254150.279686,63.450944772283,10.399094050353177,5.543902,30.534,7.522
1652254151.28272,63.45094800800702,10.399123145293672,5.535947,30.531,7.524
1652254152.281212,63.45095152143634,10.399152393691033,5.517422,30.531,7.524
1652254153.280225,63.450954940290984,10.399181714427705,5.501551,30.531,7.524
1652254154.279938,63.45095852581912,10.399210873333578,5.508071,30.532,7.524
1652254155.28064,63.45096202060839,10.399239763554421,5.497107,30.541,7.519
1652254156.280556,63.450965752535026,10.399268715206428,5.503479,30.552,7.517
1652254157.278045,63.45096983399629,10.399297592214975,5.507213,30.570999,7.512
1652254158.280397,63.45097380743509,10.399326584487243,5.515293,30.58,7.51
1652254159.277587,63.45097776032043,10.399355371897535,5.513417,30.587999,7.509
1652254160.283309,63.45098146812729,10.399384392285537,5.508436,30.59,7.508
1652254161.282181,63.45098508683022,10.399413251936117,5.509386,30.587,7.509
1652254162.284711,63.45098870361076,10.399441687139195,5.494781,30.586,7.508
1652254163.282722,63.45099224062086,10.39947110246299,5.492083,30.586,7.509
1652254164.282671,63.450995980497595,10.399500400129732,5.486774,30.582001,7.509
1652254165.277435,63.45099948186254,10.399529199643062,5.484236,30.579,7.51
1652254166.276685,63.45100289276709,10.399557923091102,5.486759,30.573999,7.512
