timestamp,lat,lon,x,y,z,depth,salinity,temperature
1622104188.0,63.44987775442699,10.408254091129702,217.0913,-68.69739999999999,0.3385,-0.051500000000000004,23.904,11.258
1622104189.0,63.44987605346629,10.40828010330423,216.90195,-67.4031,0.33075,-0.03265,24.1795,11.311
1622104190.0,63.44987192525669,10.408303935018404,216.4424,-66.2173,0.395,-0.036,24.842,11.357
1622104191.0,63.449869663747016,10.408323494934526,216.19065,-65.24405,0.41269999999999996,-0.0453,24.606,11.294
1622104192.0,63.44986764882499,10.408338338977888,215.96635,-64.50545,0.44480000000000003,-0.0531,24.575499999999998,11.32
1622104193.0,63.44986746916186,10.408352632267828,215.94635,-63.79425,0.46159999999999995,-0.061399999999999996,24.528,11.2705
1622104194.0,63.4498658935162,10.408364008479728,215.77095,-63.2282,0.28135,-0.08665,24.131,11.249500000000001
1622104195.0,63.4498661459429,10.408376320144605,215.79905,-62.61559999999999,0.4913,-0.07880000000000001,23.6375,11.2385
1622104196.0,63.449864956572966,10.408387459188368,215.66664999999998,-62.061350000000004,0.50505,-0.08280000000000001,22.935000000000002,11.231
1622104197.0,63.449863403385194,10.408400553725153,215.49375,-61.4098,0.6544000000000001,-0.0786,22.689500000000002,11.224499999999999
1622104198.0,63.449862393678394,10.408415061085385,215.38135000000003,-60.68795,0.6713500000000001,-0.08265,22.374000000000002,11.216
1622104199.0,63.44985968840079,10.40843068090761,215.08020000000002,-59.91074999999999,0.7909,-0.0761,22.087,11.21
1622104200.0,63.44985728405893,10.408444330163514,214.81255000000002,-59.2316,0.8577,-0.0833,21.9005,11.203
1622104201.0,63.449854220802536,10.408460960894399,214.47155000000004,-58.40410000000001,0.9150500000000001,-0.0782,22.003,11.206
1622104202.0,63.4498493195923,10.408479496929777,213.92595,-57.4818,0.9027000000000001,-0.0843,21.929499999999997,11.199
1622104203.0,63.44984300173828,10.408498910266488,213.22265000000002,-56.51585,1.0619,-0.0761,22.042,11.2005
1622104204.0,63.4498376100477,10.408517317683925,212.62245,-55.59995,1.0804,-0.07955,22.209,11.212
1622104205.0,63.449833007527424,10.408538175940986,212.11010000000002,-54.5621,1.0407,-0.08549999999999999,22.67,11.2345
1622104206.0,63.44982685990422,10.40856207096455,211.42575000000002,-53.373149999999995,0.8211999999999999,-0.07425000000000001,23.106,11.246
1622104207.0,63.44981915819493,10.408591671681375,210.56840000000003,-51.9003,1.011,-0.0178,24.360500000000002,11.3705
1622104208.0,63.44981334429598,10.408620901518834,209.9212,-50.4459,1.1407500000000002,0.0222,24.9765,11.4195
1622104209.0,63.44980612632967,10.408649258161882,209.1177,-49.034949999999995,1.22755,0.017150000000000002,25.4675,11.4505
1622104210.0,63.44979717012256,10.408683770671951,208.1207,-47.3177,1.26505,-0.01575,25.3985,11.4085
1622104211.0,63.449787262599166,10.408716913555862,207.0178,-45.6686,1.23695,-0.00125,25.0795,11.345500000000001
1622104212.0,63.44977898641701,10.408750593970622,206.09650000000002,-43.99275,1.8451,0.0827,25.521,11.4465
1622104213.0,63.44976940722799,10.408784565816141,205.03015,-42.3024,2.14145,0.1274,25.8695,11.456
1622104214.0,63.44975397236835,10.408822006606005,203.31195,-40.43945,2.33035,0.048,25.5075,11.375
1622104215.0,63.44974326669149,10.408853869213997,202.1202,-38.85405,2.3276,-0.010400000000000001,24.686,11.2635
1622104216.0,63.449737734863675,10.408884513764951,201.50439999999998,-37.32925,2.00695,-0.00545,24.634,11.276
1622104217.0,63.44973038843822,10.408918766823321,200.6866,-35.624900000000004,2.6566,0.0626,25.015,11.310500000000001
1622104218.0,63.4497261793802,10.408954419567477,200.21805,-33.8509,2.8954,0.1014,25.2865,11.346
1622104219.0,63.449721000590436,10.408985144461953,199.64155,-32.3221,2.92,0.047,24.573999999999998,11.224499999999999
1622104220.0,63.44971467420241,10.409017060135623,198.9373,-30.734050000000003,3.03055,-0.008049999999999998,23.478499999999997,11.1525
1622104221.0,63.44970744815126,10.409048868293024,198.1329,-29.15135,2.8455,-0.010499999999999999,22.851,11.133
1622104222.0,63.449702040290994,10.409078206441105,197.5309,-27.69155,2.21415,0.00034999999999999994,22.898,11.161999999999999
1622104223.0,63.44969602966093,10.409111959964918,196.8618,-26.01205,2.11595,0.054700000000000006,24.2,11.340499999999999
1622104224.0,63.449689352929795,10.409145862205884,196.11855,-24.32515,2.0665,0.05135000000000001,25.157,11.347999999999999
1622104225.0,63.44968259714689,10.409180659766365,195.3665,-22.593700000000002,2.0172,0.0062,24.5605,11.241
1622104226.0,63.4496751137283,10.409214410252774,194.53345,-20.914350000000002,2.09205,-0.00395,24.518500000000003,11.250499999999999
1622104227.0,63.44966790699093,10.409246227359924,193.7312,-19.331200000000003,1.7864999999999998,-0.0213,24.206000000000003,11.21
1622104228.0,63.449661845156875,10.409275793542438,193.0564,-17.86005,2.0169,-0.0131,23.9785,11.2105
1622104229.0,63.449656855911705,10.409307615618369,192.501,-16.27665,1.8031,0.0293,24.520000000000003,11.263
1622104230.0,63.449647707015885,10.409335504692118,191.48255,-14.88895,1.6940000000000002,-0.0019999999999999996,24.0805,11.215499999999999
1622104231.0,63.449641993279144,10.409369580656076,190.8465,-13.1934,2.0355,-0.01625,24.180500000000002,11.2515
1622104232.0,63.44963855677259,10.409393812952718,190.46395,-11.987649999999999,1.7510999999999999,-0.01735,25.011499999999998,11.372
1622104233.0,63.44963074591794,10.409422328000451,189.59445,-10.5688,1.42375,-0.041249999999999995,24.7045,11.244499999999999
